dataset,exp,representation,src,tgt,epoch,acc,mf1,mrr,map,a10,char_erate,ins_erate,del_erate,sub_erate,vow_erate,cons_erate,vow_frac,cons_frac,oth_frac,vow_ecount,cons_ecount,oth_ecount,all_ecount
news_2015_official,3_multilingual_prefix_tgt,onehot_shared,en,kn,38,0.493,0.88795,0.547143,0.493,0.633,,,,,,,,,,,,,
news_2015_official,2_bilingual,onehot,en,hi,26,0.641,0.913146,0.6749,0.640611,0.724,0.13304578633,0.0351692103517,0.0316854678169,0.0661911081619,0.212896622313,0.0732352941176,0.518703241895,0.310473815461,0.170822942643,416.0,249.0,137.0,802.0
news_2015_official,2_bilingual,onehot,en,bn,21,0.417,0.868111,0.51575,0.415528,0.671,0.180025355684,0.0467671503029,0.051415692351,0.08184251303,0.254977029096,0.109241522133,0.521126760563,0.330203442879,0.148669796557,666.0,422.0,190.0,1278.0
news_2015_official,2_bilingual,onehot,en,ta,38,0.578,0.904903,0.623183,0.5775,0.696,0.125140607424,0.0281214848144,0.033183352081,0.0638357705287,0.211894052974,0.0917256396298,0.476404494382,0.378651685393,0.144943820225,424.0,337.0,129.0,890.0
news_2015_official,2_bilingual,onehot,en,kn,25,0.52,0.885289,0.551017,0.52,0.592,0.150110375276,0.0476821192053,0.0289919058131,0.0734363502575,0.250523012552,0.095128279043,0.469607843137,0.323529411765,0.206862745098,479.0,330.0,211.0,1020.0
slavic_latin-ar,moses,onehot,cs,ar,-1,0.389113,,,,,,,,,,,,,,,,,
slavic_latin-ar,moses,onehot,pl,ar,-1,0.347041,,,,,,,,,,,,,,,,,
slavic_latin-ar,moses,onehot,sl,ar,-1,0.419028,,,,,,,,,,,,,,,,,
slavic_latin-ar,moses,onehot,sk,ar,-1,0.432624,,,,,,,,,,,,,,,,,
ar-slavic_latin,moses,onehot,ar,cs,-1,0.154079,,,,,,,,,,,,,,,,,
ar-slavic_latin,moses,onehot,ar,sl,-1,0.183113,,,,,,,,,,,,,,,,,
ar-slavic_latin,moses,onehot,ar,pl,-1,0.136778,,,,,,,,,,,,,,,,,
ar-slavic_latin,moses,onehot,ar,sk,-1,0.152439,,,,,,,,,,,,,,,,,
news_2015_reversed,moses,onehot,hi,en,-1,0.491903,,,,,,,,,,,,,,,,,
news_2015_reversed,moses,onehot,bn,en,-1,0.552284,,,,,,,,,,,,,,,,,
news_2015_reversed,moses,onehot,kn,en,-1,0.427856,,,,,,,,,,,,,,,,,
news_2015_reversed,moses,onehot,ta,en,-1,0.339339,,,,,,,,,,,,,,,,,
news_2015_indic,moses,onehot,ta,bn,-1,0.195939,,,,,,,,,,,,,,,,,
news_2015_indic,moses,onehot,kn,ta,-1,0.348861,,,,,,,,,,,,,,,,,
news_2015_indic,moses,onehot,kn,hi,-1,0.472932,,,,,,,,,,,,,,,,,
news_2015_indic,moses,onehot,hi,bn,-1,0.299189,,,,,,,,,,,,,,,,,
news_2015_indic,moses,onehot,ta,kn,-1,0.269907,,,,,,,,,,,,,,,,,
news_2015_indic,moses,onehot,ta,hi,-1,0.290686,,,,,,,,,,,,,,,,,
news_2015_indic,moses,onehot,hi,kn,-1,0.285276,,,,,,,,,,,,,,,,,
news_2015_indic,moses,onehot,bn,hi,-1,0.297436,,,,,,,,,,,,,,,,,
news_2015_indic,moses,onehot,hi,ta,-1,0.251527,,,,,,,,,,,,,,,,,
news_2015_indic,moses,onehot,kn,bn,-1,0.285859,,,,,,,,,,,,,,,,,
news_2015_indic,moses,onehot,bn,ta,-1,0.190918,,,,,,,,,,,,,,,,,
news_2015_indic,moses,onehot,bn,kn,-1,0.176225,,,,,,,,,,,,,,,,,
news_2015_official,moses,onehot,en,hi,-1,0.605,,,,,,,,,,,,,,,,,
news_2015_official,moses,onehot,en,bn,-1,0.429,,,,,,,,,,,,,,,,,
news_2015_official,moses,onehot,en,ta,-1,0.529,,,,,,,,,,,,,,,,,
news_2015_official,moses,onehot,en,kn,-1,0.487,,,,,,,,,,,,,,,,,
news_2015_reversed,2_bilingual,phonetic,hi,en,27,0.375506,0.879482,0.464491,0.375506,0.605263,0.165040650407,0.030352303523,0.0680216802168,0.0666666666667,0.251360544218,0.113103778097,0.606732348112,0.388341543514,0.00492610837438,,,,
news_2015_reversed,2_bilingual,phonetic,bn,en,7,0.473096,0.892863,0.531929,0.473096,0.62335,0.142190502333,0.0300576447982,0.0499588251441,0.0621740323909,0.178067700987,0.122003323048,0.487451737452,0.496138996139,0.0164092664093,,,,
news_2015_reversed,2_bilingual,phonetic,ta,en,35,0.212212,0.80734,0.276043,0.212212,0.378378,0.234651751232,0.0336929018511,0.0700492742043,0.130909575176,0.215079097947,0.258170703033,0.362656072645,0.623155505108,0.0141884222474,,,,
news_2015_reversed,2_bilingual,phonetic,kn,en,15,0.337675,0.865443,0.383543,0.337675,0.456914,0.188334223171,0.0476508275494,0.0659369994661,0.0747463961559,0.255231560892,0.155020271882,0.52728561304,0.460666194189,0.0120481927711,,,,
news_2015_reversed,2_bilingual,onehot,hi,en,22,0.382591,0.879496,0.476164,0.382591,0.62247,0.164898616893,0.0390761380422,0.0562642674903,0.0695582113603,0.25306122449,0.11406025825,0.605863192182,0.388436482085,0.0057003257329,,,,
news_2015_reversed,2_bilingual,onehot,bn,en,32,0.48934,0.897162,0.554103,0.48934,0.656853,0.139078265612,0.0364057812926,0.0454049631852,0.0572675211344,0.182299012694,0.115594588179,0.506862745098,0.477450980392,0.0156862745098,,,,
